misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,10080,59,-10.069055109999999,1.4187305927276612,-0.0036768686026334763,52.163858032226564
40,19680,57,-9.27373903,1.4181610465049743,0.0016502816928550602,15.976695346832276
60,29280,56,-8.98148496,1.417719054222107,0.0008239835500717163,29.19876527786255
80,38880,56,-7.73194609,1.4169325947761535,-0.00459933876991272,6.210931730270386
100,48480,56,-6.842589729999999,1.4158000588417052,-0.003554200381040573,8.993328714370728
120,58080,56,-7.924153369999999,1.4152142643928527,-0.007635031640529632,10.045137548446656
140,67680,55,-7.094638139999998,1.4138204336166382,-0.002637854218482971,9.149188661575318
160,77280,55,-7.317855010000001,1.4110803365707398,-0.0009435836225748062,8.52581582069397
180,86880,55,-8.59518061,1.4106063723564148,-0.00020496100187301637,6.147780179977417
200,96480,55,-9.10806238,1.4100979447364808,-0.0031811043620109556,5.478889727592469
220,106080,55,-10.33766769,1.4101394891738892,-0.0038846135372295975,9.232374048233032
240,115680,55,-10.958636059999998,1.4102421998977661,-0.004860859736800194,4.157935452461243
260,125280,55,-10.382254929999998,1.40855792760849,-0.0009687024517916143,5.832801389694214
280,134880,55,-10.698201840000001,1.408134436607361,-0.00444471575319767,4.399525356292725
300,144480,55,-11.491460130000002,1.4073636293411256,-0.0009608536958694458,5.255644202232361
320,154080,55,-10.80357094,1.4064078330993652,-0.004826385341584682,5.850840997695923
340,163680,55,-11.439108290000002,1.405795967578888,0.0011072386056184768,3.08570511341095
360,173280,55,-13.00291348,1.4058616638183594,-0.007531126961112022,1.3777809262275695
380,182880,55,-11.84031436,1.4058820128440856,-0.0023096654564142226,3.467806911468506
400,192480,55,-11.756333849999999,1.4064295887947083,0.0007040426135063171,2.8779440402984617
